#Frame   Contacts_00002[native] Contacts_00002[nonnative]
       1                     10                        94
       2                      4                        94
       3                     18                        80
       4                     12                        34
       5                     18                        80
       6                      4                        76
       7                     22                        50
       8                     18                       110
       9                     14                       122
      10                     16                        50
      11                     10                        46
      12                      6                        84
      13                     22                        36
      14                     14                       108
      15                     20                        88
      16                     14                        96
      17                      8                        56
      18                     16                       100
      19                     20                        26
      20                     14                        68
      21                     22                       140
      22                     22                        82
      23                     16                        76
      24                     28                        86
      25                     14                        66
      26                      8                        50
      27                     12                        56
      28                     10                        62
      29                     10                        58
      30                     16                        76
