#Frame   Contacts_00002[native] Contacts_00002[nonnative]
       1                      8                        86
       2                      4                        54
       3                     16                        76
       4                     12                        38
       5                      6                        82
       6                     14                        82
       7                      8                        80
       8                     10                       146
       9                      4                        72
      10                     12                        50
      11                     14                        60
      12                     24                       116
      13                     16                        76
      14                      8                        82
      15                     14                        82
      16                     14                        86
      17                      6                       116
      18                      4                        50
      19                     36                        94
      20                     22                        74
      21                     12                        82
      22                     18                        74
      23                     12                       100
      24                     20                        58
      25                      6                        66
      26                     22                        78
      27                      0                        36
      28                     22                        88
      29                      6                        68
      30                      6                       110
